probe;nuc;act;frac;Passage;null;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p11;0,2516;0,0883;1,9174;11;1;2486,612;35,482;131,019;36,196;131,434;254,843;87,206;36,306;51,795;0,481;2,402;0,416;0,823;Middle
p11;0,161;0,0033;1,8908;11;1;1955,233;60,026;70,824;62,113;72,371;277,632;99,464;25,029;153,766;0,319;3,974;0,252;0,7;Middle
p11;0,2943;0,3334;1,8555;11;1;2059,346;120,157;73,403;122,974;82,132;230,47;76,971;34,065;104,292;0,487;2,259;0,443;0,768;Middle
p11;0,1754;0,0791;1,7876;11;1;2374,633;133,342;121,854;135,401;120,024;200,563;71,163;42,486;142,914;0,742;1,675;0,597;0,969;Middle
p11;0,1189;0,0791;1,8993;11;1;3329,634;199,951;144,665;194,507;140,328;278,994;117,333;36,132;145,813;0,538;3,247;0,308;0,938;Middle
p11;0,3936;0,0398;1,8995;11;1;1468,739;49,142;130,395;50,252;130,076;211,695;78,086;23,949;174,898;0,412;3,261;0,307;0,85;Middle
p11;0,2799;0,2919;1,8753;11;1;2410,031;144,922;99,285;143,737;100,156;274,41;73,911;41,517;82,751;0,402;1,78;0,562;0,647;Middle
p11;0,3339;0,5224;1,9198;11;1;2501,65;206,93;57,096;205,884;61,216;301,995;75,012;42,462;90,25;0,345;1,767;0,566;0,588;Middle
p10;0,2862;0,2812;1,8899;10;1;1719,187;72,046;105,727;73,663;105,11;215,364;89,964;24,331;42,896;0,466;3,697;0,27;0,928;Young
p10;0,1807;-0,0412;1,8888;10;1;3915,73;150,409;162,615;145,915;173,852;307,718;90,471;55,108;78,153;0,52;1,642;0,609;0,778;Young
p10;0,1636;0,1182;1,9275;10;1;8214,594;168,159;78,889;167,83;78,247;588,7;169,777;61,605;115,541;0,298;2,756;0,363;0,698;Young
p10;0,1944;0,0724;1,7291;10;1;11043,736;151,111;87,959;157,135;89,793;681,487;160,517;87,6;138,286;0,299;1,832;0,546;0,712;Young
p10;0,2587;-0,059;1,8191;10;1;4050,613;74,637;64,971;69,403;67,318;403,65;89,813;57,424;35,073;0,312;1,564;0,639;0,71;Young
p10;0,2676;0,0803;1,8477;10;1;3557,004;98,617;124,226;99,102;119,389;304,527;122,77;36,89;67,181;0,482;3,328;0,3;0,932;Young
p10;0,2445;-0,0107;1,844;10;1;2670,66;139,783;140,572;138,655;141,92;251,858;102,337;33,227;84,594;0,529;3,08;0,325;0,952;Young
p10;0,2886;-0,0979;1,8259;10;1;3753,777;164,184;83,247;166,057;86,122;256,931;101,177;47,239;93,608;0,715;2,142;0,467;0,971;Young
p10;0,2122;0,1579;1,817;10;1;6684,487;116,17;37,558;132,646;42,78;494,315;208,853;40,751;166,106;0,344;5,125;0,195;0,763;Young
p10;0,2909;0,0724;1,9008;10;1;5342,65;125,929;174,741;123,101;178,553;438,517;148,028;45,954;48,701;0,349;3,221;0,31;0,764;Young
p10;0,3;0,2872;0,7223;10;1;2301,754;121,773;115,178;123,355;121,214;310,534;141,817;20,665;104,379;0,3;6,863;0,146;0,887;Young
p10;0,2257;0,2582;1,8776;10;1;6173,699;131,662;88,587;136,859;81,916;434,218;197,134;39,874;67,537;0,411;4,944;0,202;0,841;Young
p10;0,2091;0,0483;1,8015;10;1;3617,39;132,702;164,466;131,245;162,659;387,866;140,288;32,831;49,113;0,302;4,273;0,234;0,758;Young
p10;0,2484;0,116;0,3011;10;1;799,584;119,532;84,281;117,785;87,128;232,124;70,843;14,371;49,332;0,186;4,93;0,203;0,599;Young
p10;0,1439;0,0393;1,8651;10;1;4392,334;57,61;179,662;53,822;179,375;296,187;77,286;72,361;86,021;0,629;1,068;0,936;0,85;Young
p10;0,2304;0,1754;1,5872;10;1;1168,143;57,997;47,152;53,179;46,453;200,242;84,966;17,505;175,012;0,366;4,854;0,206;0,853;Young
p10;0,2153;0,1123;1,7667;10;1;1542,948;122,722;57,826;120,306;56,628;185,761;74,447;26,389;159,802;0,562;2,821;0,354;0,875;Young
p10;0,1277;0,1041;1,7505;10;1;4432,244;170,739;59,928;173,687;59,15;363,421;122,154;46,198;142,147;0,422;2,644;0,378;0,698;Young
p10;0,2518;0,1448;1,2979;10;1;4286,139;157,42;113,943;158,225;116,298;355,849;86,67;62,966;78,087;0,425;1,376;0,726;0,712;Young
p10;0,1734;0,0509;1,701;10;1;2739,027;132,79;101,81;130,961;105,14;253,907;114,619;30,426;76,321;0,534;3,767;0,265;0,921;Young
