probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p23;0,3489;0,2678;1,7676;23;6554,52;180,325;116,395;181,233;120,92;378,551;164,181;50,831;157,285;0,575;3,23;0,31;0,95;Old
p23;0,3507;0,2143;1,8384;23;5371,686;137,773;133,448;142,325;135,366;472,779;224,168;30,51;157,544;0,302;7,347;0,136;0,763;Old
p23;0,2922;0,2338;1,7968;23;4180,638;193,945;94,855;197,382;93,875;265,725;97,943;54,347;23,718;0,744;1,802;0,555;0,943;Old
p23;0,3648;0,1501;1,814;23;3688,88;168,188;140,657;162,992;138,17;307,822;128,993;36,412;156,39;0,489;3,543;0,282;0,936;Old
p23;0,2801;0,3583;1,8184;23;9024,821;121,56;190,257;137,847;186,899;519,43;241,255;47,629;13,132;0,42;5,065;0,197;0,874;Old
p23;0,357;0,4098;1,9131;23;3839,786;134,481;89,326;118,605;80,755;382,198;160,824;30,399;153,871;0,33;5,29;0,189;0,882;Old
p23;0,3281;0,4432;1,9352;23;4502,173;124,905;137,079;123,65;138,287;358,51;148,746;38,538;177,855;0,44;3,86;0,259;0,921;Old
p23;0,2859;0,3118;1,9014;23;5304,88;167,735;167,135;177,067;168,657;384,087;158,178;42,701;3,386;0,452;3,704;0,27;0,755;Old
p23;0,3429;-0,1923;1,9232;23;3585,635;160,734;215,769;163,498;213,042;240,241;81,886;55,753;177,066;0,781;1,469;0,681;0,952;Old
p23;0,3582;0,3227;1,9127;23;5672,05;34,574;178,707;30,657;185,065;359,017;147,45;48,978;70,665;0,553;3,011;0,332;0,959;Old
p24;0,2569;0,4919;1,9188;24;3337,79;53,575;34,891;54,725;38,751;293,03;126,872;33,497;153,99;0,488;3,788;0,264;0,919;Old
p24;0,2606;0,3474;1,9105;24;3701,2;174,742;174,837;173,851;169,791;314,836;136,881;34,428;108,249;0,469;3,976;0,252;0,875;Old
p24;0,2538;0,4151;1,9436;24;7356,938;113,703;135,933;111,636;131,467;498,886;232,82;40,233;117,399;0,371;5,787;0,173;0,906;Old
p24;0,2873;0,4976;1,971;24;6360,697;132,789;177,925;126,978;183,025;455,011;160,048;50,602;43,144;0,386;3,163;0,316;0,763;Old
p24;0,3168;0,4828;1,9324;24;4614,094;85,733;180,246;80,533;177,693;469,591;118,38;49,627;119,408;0,263;2,385;0,419;0,61;Old
p24;0,2846;0,4514;1,9325;24;6130,492;154,381;150,544;150,668;142,485;439,184;179,922;43,383;146,029;0,399;4,147;0,241;0,911;Old
p24;0,2485;0,3666;1,921;24;7808,381;154,786;76,13;153,747;76,582;435,353;173,212;57,398;1,336;0,518;3,018;0,331;0,891;Old
p24;0,2758;0,4422;1,7185;24;5579,159;74,187;106,835;76,422;108,466;477,415;182,128;39,003;143,493;0,308;4,67;0,214;0,816;Old
p24;0,2211;0,2326;1,8203;24;3862,748;140,956;113,394;141,912;112,535;394,723;124,723;39,433;141,515;0,312;3,163;0,316;0,824;Old
p24;0,2207;0,0358;1,9048;24;8664,996;84,621;126,011;78,787;132,866;441,963;178,369;61,853;28,948;0,557;2,884;0,347;0,901;Old
p24;0,2294;0,1645;1,9254;24;2553,533;202,625;16,14;205,771;16,435;246,055;102,529;31,711;171,846;0,53;3,233;0,309;0,949;Old
p24;0,2783;0,2739;1,9387;24;6086,534;156,571;70,071;156,311;69,909;379,591;144,718;53,55;8,979;0,531;2,702;0,37;0,898;Old
p24;0,1865;0,2195;1,6684;24;4273,125;69,06;42,168;64,829;41,519;329,958;128,642;42,294;158,956;0,493;3,042;0,329;0,889;Old
p24;0,2896;0,2977;1,725;24;7245,595;165,182;85,283;160,617;89,648;442,811;182,115;50,657;47,153;0,464;3,595;0,278;0,902;Old
p24;0,3041;0,3987;1,7408;24;7222,806;76,828;177,399;76,332;179,643;417,639;165,148;55,686;68,257;0,52;2,966;0,337;0,895;Old
p24;0,2559;0,475;1,9265;24;6148,249;186,698;171,407;182,761;169,534;393,082;176,268;44,411;121,494;0,5;3,969;0,252;0,911;Old
p24;0,3139;0,3968;1,8902;24;3553,187;60,765;154,408;57,497;159,038;374,987;133,292;33,941;87,707;0,318;3,927;0,255;0,602;Old
p24;0,2291;0,4716;1,9321;24;4704,151;108,542;55,016;117,052;52,368;460,448;93,171;64,285;31,274;0,279;1,449;0,69;0,574;Old
p24;0,2488;0,4472;1,9583;24;7068,662;179,914;89,039;179,949;95,866;406,749;174,423;51,599;92,87;0,537;3,38;0,296;0,958;Old
p24;0,211;0,3223;1,899;24;5638,561;53,88;57,986;49,156;61,361;331,9;129,102;55,609;3,571;0,643;2,322;0,431;0,973;Old
p25;-0,1067;-0,1039;1,9388;25;10330,102;147,719;132,135;150,28;136,557;706,017;230,234;57,128;150,845;0,26;4,03;0,248;0,554;Old
p25;0,1585;0,3852;1,6435;25;6882,358;105,76;101,317;105,048;97,753;448,575;203,185;43,128;103,291;0,43;4,711;0,212;0,9;Old
p25;0,031;-0,0779;1,7077;25;11122,861;60,882;161,062;74,277;175,446;454,859;175,809;80,553;115,518;0,676;2,183;0,458;0,94;Old
p25;0,2149;0,2179;1,8891;25;5458,967;123,656;147,948;113,294;148,419;570,678;212,442;32,717;0,954;0,211;6,493;0,154;0,656;Old
p25;0,2719;0,4258;1,9308;25;4264,854;151,63;90,992;140,489;99,924;476,797;175,744;30,898;34,279;0,236;5,688;0,176;0,634;Old
p25;0,2539;0,3794;1,883;25;3332,237;169,948;144,766;169,13;143,778;403,026;143,451;29,576;16,201;0,258;4,85;0,206;0,667;Old
p25;0,2407;0,6419;1,8584;25;4943,783;123,213;58,443;120,303;64,659;493,629;95,116;66,178;93,939;0,255;1,437;0,696;0,516;Old
p25;0,085;0,0153;1,9334;25;8014,235;78,441;195,367;76,73;193,294;467,476;178,057;57,308;160,269;0,461;3,107;0,322;0,86;Old
p25;-0,1288;0,146;1,9566;25;10515,307;101,757;70,041;114,055;56,472;489,868;182,941;73,185;69,985;0,551;2,5;0,4;0,907;Old
p25;-0,1835;0,651;1,2468;25;6075,833;160,001;173,046;172,685;172,166;335,431;142,898;54,136;4,772;0,679;2,64;0,379;0,962;Old
p25;-0,0942;0,396;1,92;25;4816,477;68,373;143,48;71,435;140,302;389,318;180,275;34,018;44,692;0,399;5,299;0,189;0,897;Old
p25;-0,19;0,2505;1,8807;25;5839,498;72,583;73,785;75,719;69,298;406,956;170,948;43,493;64,797;0,443;3,93;0,254;0,908;Old
p25;-0,0361;0,5647;1,9282;25;5007,812;168,028;86,976;166,663;84,894;433,597;202,524;31,483;126,051;0,335;6,433;0,155;0,932;Old
p25;0,2235;0,45;1,6909;25;8645,909;123,916;99,32;120,192;97,654;563,139;253,17;43,482;135,645;0,343;5,822;0,172;0,9;Old
p25;0,2042;0,4646;1,9141;25;2498,469;99,468;74,383;100,103;84,398;361,878;161,357;19,715;85,069;0,24;8,184;0,122;0,8;Old
p25;0,2388;0,4983;1,9295;25;13588,015;138,451;134,861;134,143;144,458;609,013;186,604;92,714;53,375;0,46;2,013;0,497;0,826;Old
p25;0,0753;0,0657;1,8572;25;3451,562;150,124;46,866;148,877;48,676;447,34;167,478;26,24;2,037;0,217;6,382;0,157;0,654;Old
p25;0,2043;0,1063;1,9153;25;3908,905;116,385;92,276;116,791;91,264;284,871;102,009;48,79;2,045;0,605;2,091;0,478;0,859;Old
p25;-0,0139;0,3363;1,8453;25;5623,06;194,725;115,486;196,807;114,402;377,052;116,952;61,217;35,328;0,497;1,91;0,523;0,829;Old
p25;-0,2068;0,4463;1,9185;25;5397,829;53,431;152,042;54,883;150,553;398,819;134,924;50,938;6,623;0,426;2,649;0,378;0,674;Old
