probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p10;0,3114;0,1763;1,826;10;2543,411;203,204;210,104;202,595;210,176;264,748;108,412;29,871;34,007;0,456;3,629;0,276;0,865;Young
p10;0,3295;0,2283;1,6414;10;1930,767;213,67;142,464;213,805;144,242;234,875;96,74;25,412;99,13;0,44;3,807;0,263;0,819;Young
p10;0,3464;0,3642;1,7046;10;3221,241;119,147;152,981;120,111;154,07;307,581;135,838;30,193;17,137;0,428;4,499;0,222;0,858;Young
p10;0,2253;0,0671;1,7046;10;2021,113;134,138;81,972;139,148;80,188;260,296;120,782;21,306;19,233;0,375;5,669;0,176;0,839;Young
p10;0,3723;0,4555;1,7074;10;3233,33;104,879;212,361;97,477;218,286;408,623;133,192;30,909;28,646;0,243;4,309;0,232;0,528;Young
p10;0,3254;0,2189;1,7904;10;2349,935;45,525;92,552;46,907;90,963;276,622;105,882;28,258;53,736;0,386;3,747;0,267;0,71;Young
p10;0,3687;0,2351;1,8222;10;1944,533;27,986;77,454;26,614;80,143;210,776;53,627;46,168;63,157;0,55;1,162;0,861;0,804;Young
p10;0,3167;0,2223;1,8295;10;2339,582;99,492;32,207;97,766;29,712;231,993;80,412;37,045;114,142;0,546;2,171;0,461;0,824;Young
p10;0,2861;0,4755;1,7583;10;5102,439;88,215;94,71;81,554;88,568;437,295;122,265;53,136;110,344;0,335;2,301;0,435;0,591;Young
p10;0,3496;0,537;1,7649;10;3577,827;207,903;181,276;213,323;189,832;374,064;93,621;48,658;133,371;0,321;1,924;0,52;0,697;Young
p10;0,3341;0,4903;1,8698;10;3160,451;185,097;97,237;190,332;95,198;346,115;111,51;36,086;18,015;0,332;3,09;0,324;0,66;Young
p10;0,3357;0,5166;1,7717;10;4146,05;94,088;116,426;103,88;125,667;424,766;181,634;29,064;138,38;0,289;6,25;0,16;0,799;Young
p10;0,2966;0,4496;1,8343;10;4041,764;98,216;174,201;102,424;169,168;270,857;74,501;69,075;76,871;0,692;1,079;0,927;0,864;Young
p10;0,3266;0,2899;1,832;10;2323,618;223,439;127,441;219,687;117,506;212,291;84,617;34,964;105,536;0,648;2,42;0,413;0,954;Young
p10;0,3176;0,4356;1,7745;10;2863,557;86,459;152,142;83,964;151,28;383,562;117,453;31,042;105,487;0,245;3,784;0,264;0,657;Young
p10;0,2821;0,4528;1,6671;10;4333,973;89,3;34,02;95,732;36,127;268,374;85,069;64,867;108,059;0,756;1,311;0,763;0,971;Young
p10;0,3486;0,3122;1,7855;10;4981,9;89,717;31,883;95,114;31,293;380,249;161,026;39,392;21,571;0,433;4,088;0,245;0,925;Young
